web-scraper-order,web-scraper-start-url,product-link,product-link-href,product-title,product-price,product-image-src
"1585502427-116","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Thurai


						
										 
									
								
							6.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/thurai/p/458469","Thurai","6.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h8d/h40/8949852012574/458469_main.jpg_480Wx480H"
"1585502257-88","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Long White Pumpkin


						
										 
									
								
							6.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/pumpkin-green-white-long/p/501467","Long White Pumpkin","6.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h3a/h29/8950143811614/501467_main.jpg_480Wx480H"
"1585502300-95","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","White Baby Potato


						
										 
									
								
							14.00 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/potato-baby-white/p/71595","White Baby Potato","14.00 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h92/h06/8947122667550/71595_main.jpg_480Wx480H"
"1585502376-108","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Turnip


						
										 
									
								
							4.85 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/potato/turnip/p/70641","Turnip","4.85 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h0e/hd4/8947133448222/70641_main.jpg_480Wx480H"
"1585502306-96","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Orange Capsicum


						
										 
									
								
							14.90 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/capsicum-chilli/capsicum-orange/p/489973","Orange Capsicum","14.90 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hfa/h14/9098434281502/489973_main.jpg_480Wx480H"
"1585502482-124","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Round Purple Eggplant


						
										 
									
								
							7.50 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/eggplant/eggplant-purple-round/p/425426","Round Purple Eggplant","7.50 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h31/ha3/8949579579422/425426_main.jpg_480Wx480H"
"1585502499-126","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Long Cucumber


						
										 
									
								
							19.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cucumber/cucumber-long/p/70658","Long Cucumber","19.95 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hfe/h11/9929886400542/70658_main.jpg_480Wx480H"
"1585502433-117","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Green Long Eggplant


						
										 
									
								
							6.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/eggplant/eggplant-green-long/p/447579","Green Long Eggplant","6.95 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h46/hd7/8950503309342/447579_main.jpg_480Wx480H"
"1585502390-110","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Tindly


						
										 
									
								
							7.80 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cucumber/tindly/p/447584","Tindly","7.80 AED
						/KG","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h5f/hc4/8949895266334/447584_main.jpg_480Wx480H"
"1585502244-86","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/c/F1660000","Fennel


						
										 
									
								
							29.90 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/vegetables/cabbage-other-cooking/fennel/p/71601","Fennel","29.90 AED
						/KG",""
