web-scraper-order,web-scraper-start-url,product-link,product-link-href,product-image-src,product-title,product-price
"1585501561-54","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Strawberries 1Kg


						
										 
									
								
							42.45 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/berries/strawberry-kg/p/446323","","Strawberries 1Kg","42.45 AED
						/KG"
"1585501490-43","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Driscoll's Blackberries 170g


						Size :170g
							
							22.80 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/berries/driscoll-s-blackberries-170g/p/460568","","Driscoll's Blackberries 170g","22.80 AED"
"1585501387-29","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Seedless Dark Round Watermelon


						
										 
									
								
							14.50 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/melon/watermelon-seedless/p/490636","","Seedless Dark Round Watermelon","14.50 AED
						/KG"
"1585501505-45","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Lal Baug Mango


						
										 
									
								
							28.10 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/mango/mango-lal-baug/p/482959","","Lal Baug Mango","28.10 AED
						/KG"
"1585501580-57","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Dole Sweetio Super Sweet Highland Bananas 600g...


						Size :600g
							
							12.00 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/banana/banana-sweetio-pp/p/739830","","Dole Sweetio Super Sweet Highland Bananas 600g","12.00 AED"
"1585501622-63","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Large Green Apple


						
										 
									
								
							12.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/apple/apple-green-large/p/339286","","Large Green Apple","12.95 AED
						/KG"
"1585501595-60","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Premium Fragrant Pear


						
										 
									
								
							9.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/pears/pear-premium/p/885810","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/h21/hd3/8948866187294/885810_main.jpg_480Wx480H","Premium Fragrant Pear","9.95 AED
						/KG"
"1585501457-38","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Dark Green Long Watermelon


						
										 
									
								
							3.25 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/melon/melon-water-green-long/p/489894","","Dark Green Long Watermelon","3.25 AED
						/KG"
"1585501613-62","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","Dark Green Round Watermelon


						
										 
									
								
							4.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/melon/melon-water-dark-round/p/71056","","Dark Green Round Watermelon","4.95 AED
						/KG"
"1585501496-44","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Driscoll's Raspberries 170g


						Size :170g
							
							24.60 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/berries/driscoll-s-raspberries-170g/p/460566","","Driscoll's Raspberries 170g","24.60 AED"
"1585501375-27","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Driscoll's Blueberries 312g


						Size :312g
							
							26.95 AED","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/berries/driscoll-s-blueberry-312g/p/1153286","","Driscoll's Blueberries 312g","26.95 AED"
"1585501644-65","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","White-Flesh Nectarine


						
										 
									
								
							26.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/peach-nectarine/nectarine-white-flesh/p/269355","","White-Flesh Nectarine","26.95 AED
						/KG"
"1585501420-33","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Large Green Papaya


						
										 
									
								
							8.50 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/exotic-fruit/papaya/p/70745","https://cdnprod.mafretailproxy.com/cdn-cgi/image/format=auto,onerror=redirect/sys-master-prod/hca/hba/8947109855262/70745_main.jpg_480Wx480H","Large Green Papaya","8.50 AED
						/KG"
"1585501381-28","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/c/F1660100","WEB/NOW/Inverted
Created with Sketch.










                    NOW
								
						
						

					
						
							Clementine


						
										 
									
								
							8.95 AED
					
						/KG","https://www.carrefouruae.com/mafuae/en/fresh-food/fruits-vegetables/fruits/clementine-mandarin/clementine/p/489903","","Clementine","8.95 AED
						/KG"
